iter	Passed	Remaining
571	13714	7864
572	13737	7839
573	13759	7814
574	13781	7789
575	13804	7764
576	13827	7740
577	13849	7715
578	13872	7691
579	13894	7666
580	13916	7640
581	13938	7615
582	13959	7590
583	13982	7565
584	14004	7541
585	14027	7516
586	14051	7492
587	14074	7468
588	14099	7444
589	14123	7420
590	14144	7395
591	14167	7370
592	14192	7347
593	14216	7323
594	14240	7299
595	14262	7274
596	14283	7249
597	14305	7224
598	14327	7199
599	14352	7176
600	14375	7152
601	14398	7127
602	14421	7103
603	14444	7078
604	14467	7054
605	14490	7029
606	14513	7005
607	14535	6981
608	14559	6957
609	14581	6932
610	14606	6908
611	14629	6884
612	14653	6860
613	14676	6836
614	14698	6811
615	14720	6786
616	14744	6762
617	14767	6738
618	14790	6714
619	14812	6689
620	14835	6665
621	14858	6641
622	14880	6616
623	14903	6592
624	14926	6567
625	14948	6543
626	14970	6518
627	14996	6495
628	15019	6471
629	15041	6446
630	15063	6421
631	15087	6397
632	15110	6373
633	15132	6349
634	15155	6324
635	15179	6300
636	15202	6276
637	15225	6252
638	15249	6228
639	15270	6203
640	15292	6179
641	15315	6154
642	15339	6130
643	15362	6106
644	15385	6082
645	15410	6059
646	15432	6034
647	15456	6010
648	15477	5986
649	15501	5962
650	15524	5937
651	15548	5914
652	15571	5889
653	15595	5866
654	15619	5842
655	15642	5818
656	15666	5794
657	15691	5770
658	15714	5746
659	15735	5721
660	15757	5697
661	15795	5678
662	15820	5655
663	15845	5631
664	15867	5607
665	15889	5582
666	15911	5558
667	15936	5534
668	15959	5510
669	15981	5486
670	16004	5462
671	16026	5437
672	16048	5413
673	16071	5388
674	16094	5364
675	16118	5341
676	16142	5317
677	16165	5293
678	16188	5268
679	16212	5245
680	16235	5221
681	16258	5197
682	16280	5172
683	16302	5148
684	16324	5123
685	16347	5099
686	16370	5075
687	16394	5051
688	16417	5027
689	16439	5003
690	16463	4979
691	16487	4955
692	16509	4931
693	16531	4907
694	16553	4882
695	16576	4858
696	16598	4834
697	16621	4810
698	16643	4786
699	16667	4762
700	16689	4737
701	16710	4713
702	16733	4689
703	16756	4665
704	16778	4640
705	16800	4616
706	16824	4592
707	16846	4568
708	16869	4544
709	16891	4520
710	16913	4496
711	16936	4472
712	16958	4447
713	16980	4423
714	17003	4399
715	17027	4375
716	17049	4351
717	17071	4327
718	17094	4303
719	17116	4279
720	17139	4255
721	17161	4231
722	17184	4207
723	17208	4183
724	17231	4159
725	17253	4135
726	17275	4110
727	17298	4086
728	17320	4062
729	17342	4038
730	17365	4014
731	17387	3990
732	17409	3966
733	17431	3942
734	17455	3918
735	17477	3894
736	17499	3870
737	17520	3846
738	17543	3822
739	17565	3797
740	17590	3774
741	17613	3750
742	17636	3726
743	17658	3702
744	17681	3678
745	17704	3654
746	17726	3630
747	17749	3606
748	17771	3582
749	17794	3558
750	17817	3535
751	17841	3511
752	17862	3487
753	17885	3463
754	17907	3439
755	17932	3415
756	17954	3391
757	17978	3368
758	18000	3343
759	18022	3319
760	18044	3295
761	18067	3272
762	18091	3248
763	18114	3224
764	18139	3201
765	18162	3177
766	18184	3153
767	18206	3129
768	18229	3105
769	18250	3081
770	18274	3057
771	18297	3033
772	18320	3009
773	18342	2986
774	18365	2962
775	18388	2938
776	18410	2914
777	18433	2890
778	18455	2866
779	18477	2842
780	18500	2818
781	18532	2796
782	18555	2772
783	18577	2748
784	18600	2724
785	18622	2700
786	18643	2676
787	18665	2652
788	18687	2629
789	18709	2605
790	18733	2581
791	18757	2557
792	18779	2533
793	18803	2510
794	18825	2486
795	18849	2462
796	18871	2438
797	18895	2415
798	18920	2391
799	18943	2367
800	18967	2344
801	18990	2320
802	19013	2296
803	19036	2272
804	19057	2249
805	19080	2225
806	19102	2201
807	19125	2177
808	19149	2154
809	19172	2130
810	19194	2106
811	19217	2082
812	19240	2058
813	19263	2035
814	19286	2011
815	19309	1987
816	19333	1964
817	19355	1940
818	19378	1916
819	19401	1892
820	19424	1869
821	19446	1845
822	19469	1821
823	19491	1797
824	19512	1773
825	19533	1749
826	19557	1726
827	19579	1702
828	19603	1678
829	19627	1655
830	19648	1631
831	19672	1607
832	19695	1584
833	19717	1560
834	19738	1536
835	19759	1512
836	19781	1488
837	19803	1465
838	19828	1441
839	19850	1417
840	19873	1394
841	19895	1370
842	19920	1346
843	19944	1323
844	19967	1299
845	19989	1275
846	20011	1252
847	20032	1228
848	20053	1204
849	20075	1180
850	20099	1157
851	20123	1133
852	20147	1110
853	20171	1086
854	20193	1062
855	20214	1039
856	20236	1015
857	20258	991
858	20282	968
859	20304	944
860	20328	920
861	20351	897
862	20373	873
863	20395	849
864	20419	826
865	20443	802
866	20466	778
867	20488	755
868	20512	731
869	20535	708
870	20557	684
871	20578	660
872	20601	637
873	20626	613
874	20651	590
875	20673	566
876	20694	542
877	20718	519
878	20739	495
879	20762	471
880	20784	448
881	20806	424
882	20828	400
883	20851	377
884	20876	353
885	20898	330
886	20921	306
887	20943	283
888	20968	259
889	20991	235
890	21015	212
891	21038	188
892	21061	165
893	21082	141
894	21104	117
895	21127	94
896	21149	70
897	21171	47
898	21193	23
899	21218	0
